item,reading,description,example,level,sort,tag,category
"蓄える","たくわえる","tích trữ, tích lũy","もしもの時のためにお金は多少蓄えておいた方がいいよ:  Nên dự trữ tiền đề phòng khi khó khăn","N2","9",",400dongtu,lesson14,",""
"適する","てきする","thích hợp, áp dụng","この本は子どもが読むのに適しない: Quyển sách này không thích hợp cho trẻ em","N2","10",",400dongtu,lesson14,",""
"増す","ます","Làm tăng lên, làm hơn.","豪華［ぜいたく］な食事を取るのは特別なときだけにした方が、ありがたみが増す: Nếu bạn chỉ ăn sơn hào hải vị vào dịp đặc biệt bạn sẽ càng thấy giá trị của chúng hơn<br>汚物の中へ落ちた者は、長くそこにいるほど悪臭が増す: Anh ta bị ngã xuống chỗ bẩn, anh ta càng ngồi lâu mùi hôi thối càng nồng nặc","N2","11",",400dongtu,lesson14,",""
"溶け込む","とけこむ","tan vào, hòa nhập, hòa tan trộn lẫn","この洗剤はなかなか水に溶け込まない:This detergent doesn't dissolve easily in water<br>彼の声はオルガンの調べに溶け込んだ:His voice blended with the organ music","N2","12",",400dongtu,lesson14,",""
"脅かす","おどかす","đe dọa , cưỡng chế","そんなに脅かすなよ: Đừng có dọa tớ như thế<br>弟は私を後ろから「わっ」といって脅かした: Em trai tôi òa lên dọa tôi từ phía sau<br>少年は小さな女の子たちを脅かして砂場から追い出した: Thằng bé dọa và đuổi mấy đứa con gái bé ra khỏi bãi cát","N2","13",",400dongtu,lesson14,",""
"耕す","たがやす","cày, cấy","田んぼを耕すことを耕起と言います","N2","14",",400dongtu,lesson14,",""
"浴びる","あびる","tắm , vòi sen","日光（シャワー）を浴びる: tắm trong ánh mặt trời(voi hoa sen)<br>まわりからごうごうたる非難を浴びる: chìm ngập trong những lời nhiếc móc","N2","15",",400dongtu,lesson14,",""
"外れる","はずれる","tháo ra, tách ra, lệch ra, tuột ra, lạc đề, trật mục tiêu","取っ手が外れた:The handle has come off<br>ボタンが一つ外れているよ:One of your buttons is undone","N2","16",",400dongtu,lesson14,",""
"生じる","しょうじる","phát sinh, sinh ra","事業活動に伴って生じるごみをきちんと処分してますか？","N2","17",",400dongtu,lesson14,",""
"草臥れる","くたびれる","mệt mỏi, kiệt sức","タクシーを待ちくたびれた: I got tired of waiting for a taxi<br>彼のおしゃべりにすっかりくたびれた:He talked my head off","N2","18",",400dongtu,lesson14,",""
"避ける","さける","tránh né, né , lảng tránh, trốn tránh","誤りを犯すのは避けがたい: phạm sai lầm là không thể tránh khỏi<br>けようにも避けられない問題: vấn đề không thể lảng tránh được<br>自動車を避ける: tránh ô tô","N2","19",",400dongtu,lesson14,",""
"扱う","あつかう","xử lý , xử trí ","〜にかかわる問題点を扱う: giải quyết những vấn đề liên quan tới<br>〜の特殊で身近な問題を扱う: đối phó với những vấn đề đặc biệt và cấp bách","N2","20",",400dongtu,lesson14,",""
"覆う","おおう","che, phủ","野は雪に覆われている: cánh đồng được bao phủ một lớp tuyết<br>欠点を覆う: che lấp khuyết điểm <br>雲が山項を覆う: mây che đỉnh núi <br>木々は緑の葉で覆われている: cây cối được che phủ bởi um tùm lá","N2","1",",400dongtu,lesson15,",""
"支払う","しはらう","chi trả, trả tiền, trả phí","電気代の支払をする: trả tiền điện","N2","2",",400dongtu,lesson15,",""
"換える","かえる","trao đổi , thay thế , thay thế","この１００円玉を１０円玉に換えてください: Làm ơn đổi cho tôi một đồng 100 yên lấy đồng 10 yên<br>鹿島アントラーズの監督は小松を近藤に代えた: Huấn luyện viên đội Kashima Antler đã thay Komatsu bằng Kondo","N2","3",",400dongtu,lesson15,",""
"直る","なおる","được sửa","この１００円玉を１０円玉に換えてください: Làm ơn đổi cho tôi một đồng 100 yên lấy đồng 10 yên<br>鹿島アントラーズの監督は小松を近藤に代えた: Huấn luyện viên đội Kashima Antler đã thay Komatsu bằng Kondo","N2","4",",400dongtu,lesson15,",""
"詰める","つめる","lấp, bịt, chôn vùi, đóng","瓶に油を詰めた<br>I filled the bottle with oil<br>この布団には羽毛が詰めてある<br>This comforter is stuffed [padded] with feathers<br>ダンボールに本を詰める<br>pack a cardboard box with books<br>小さいバスにいっぱい人を詰める<br>cram people into a small bus<br>袋に食料を詰める<br>jam food into a bag","N2","5",",400dongtu,lesson15,",""
"訴える","うったえる","kiện, thưa kiện, kiện tụng","公論にうったえる: kêu gọi công luận <br>  〜に損害賠償を求めて訴える: Kiện cáo đòi bồi thường thiệt hại: <br>Aの製品が当社の特許権を侵害すると訴える: Công ty kiện sản phẩm của A là xâm phạm đến quyền sáng chế của họ <br> 〜から発せられるひどい悪臭を訴える: Kiện cáo mùi hôi thối khủng khiếp tỏa ra (phát sinh) từ~ ","N2","6",",400dongtu,lesson15,",""
"引っ掛かる","ひっかかる","Vạ lây, dính líu, lôi vào guồng"," ダイヤの指輪詐欺に引っ掛かる: dính líu vào một vụ lừa gạt nhẫn kim cương <br>私がそんな手に引っ掛かると本気で思っているのか: Anh thực sự muốn tôi dính vào chuyện đó hả? ","N2","7",",400dongtu,lesson15,",""
"述べる","のべる","bày tỏ, tường thuật, miêu tả","上に述べたようにそれは不可能です<br>As mentioned [stated] above, it is not possible<br>私は真実を述べているのです<br>I'm telling the truth<br>彼は意見を述べる機会がなかった<br>He had no chance to express himself [his opinion]","N2","8",",400dongtu,lesson15,",""
"張る","はる","Căng, phình ra, căng cứng, căng thẳng.","肩が張っているときはこの塗り薬が効く: Khi bạn căng vai lên thì lọ thuốc bôi này mới có tác dụng<br>ビールを飲んだら腹が張った: Cứ khi uống bia là bụng tôi phình ra<br>もっとロープをぴんと張ってください: Hãy kéo căng cái dây hơn","N2","9",",400dongtu,lesson15,",""
"思い出す","おもいだす","gọi lại , nhớ ra","少年時代のことを思い出す: nhớ lại sự việc hồi còn nhỏ <br> ＿年前に父親を亡くした時の悲しみを今でも思い出す: cho đến bây giờ vẫn nhớ rõ nỗi buồn khi cha mất :năm năm trước <br>彼の芸術作品を見ると、人々は自分の子ども時代を思い出す: Khi thưởng thức nghệ thuật của anh, người ta liên tưởng tới thời thơ ấu của họ ","N2","10",",400dongtu,lesson15,",""
"離れる","はなれる","chia lìa, rời bỏ, xa cách"," :が手から離れる: :tuột khỏi tay <br>〔船が〕 岸を離れる: thuyền xa bờ <br>製品が〕生産ラインを離れる: sản phẩm lăn ra khỏi dây chuyền sản xuất ","N2","11",",400dongtu,lesson15,",""
"砕く","くだく","đánh tan, đập, phá vỡ","私は問題解決のため心を砕いた: Tôi đã vắt nát óc để giải quyết vấn đề<br>彼は力いっぱいハンマーを振り下ろし岩を紛々に打ち砕いた: Anh ta dùng hết sức quai búa xuống và đập vỡ hòn đá","N2","12",",400dongtu,lesson15,",""
"隔たる","へだたる","Cách biệt, xa cách , khác biệt","二人の考えは　〜: suy nghĩ của hai người khác nhau","N2","13",",400dongtu,lesson15,",""
"暮れる","くれる","lặn (mặt trời), hết(năm, tháng)","今年も暮れようとしている: cũng sắp hết năm rồi <br>日が暮れる: mặt trời lặn ","N2","14",",400dongtu,lesson15,",""
"著す","あらわす","viết , xuất bản","その教授は歴史の本を何冊著している: Vị giáo sư đó đã viết một vài cuốn sách về lịch sử","N2","15",",400dongtu,lesson15,",""
"呆れる","あきれる","bị shock, ngạc nhiên","彼女の無関心には呆れた: bị sốc vì sự không quan tâm của cô ấy<br>君には呆れる: ngạc nhiên vì cậu đấy ","N2","16",",400dongtu,lesson15,",""
"潜る","くぐる","trốn, tránh"," 海底まで潜る: trốn dưới đáy biển <br> 急に水の中に潜る: nhanh chóng trốn trong nước <br>干し草に潜る: trốn trong đống cỏ khô <br> シーツの間に潜る: trốn giữa các lớp <br>こたつに潜る: trốn dưới bàn <br>かなり深くまで潜る: chốn thật sâu ","N2","17",",400dongtu,lesson15,",""
"倒れる","たおれる","lăn ra bất tỉnh, đổ nhào","藤岡先生は授業中に倒れた: thầy Fujioka bị bất tỉnh trong giờ học<br>あらしで多くの木は倒れた: rất nhiều cây đổ vì bão<br>からだを二つに折り曲げて地面に倒れる: thân gập làm hai, ngã trên mặt đất","N2","18",",400dongtu,lesson15,",""
"抜く","ぬく","bứt, nhổ"," 刀を抜く: rút dao <br>釘を抜く: nhổ đinh ","N2","19",",400dongtu,lesson15,",""
"暴れる","あばれる","hành động bạo lực","馬は恐怖のあまり狂ったように暴れる: con ngựa lồng lên vì sợ hãi <br>若い時は大いに暴れたものだ: khi còn trẻ tôi rất hay nóng giận <br>酔って暴れる: say rượu rồi làm ầm ĩ lên ","N2","20",",400dongtu,lesson15,",""
"納める","おさめる","thu , tiếp thu , cất , tàng trữ","死者を棺に納める: cho người chết vào trong quan tài <br>  〜を元の所に納める: cất cái gì vào vị trí cũ <br> 剣を納める: thu kiếm về <br>手付け金を納める: thu lợi ích ","N2","1",",400dongtu,lesson16,",""
"脱ぐ","ぬぐ","cởi (đồ)","彼は帽子を脱いでその婦人に深々とお辞儀をした: Anh ấy bỏ mũ và cúi chào bà lão ấy","N2","2",",400dongtu,lesson16,",""
"舞う","まう","Nhảy múa"," 木の葉が渦をなし舞っていた: lá cây bị cuộn vào thành vòng tròn<br>（人）の足がリングに舞う: Cuộn chân thành vòng tròn ","N2","3",",400dongtu,lesson16,",""
"越える","こえる","vượt qua, vượt lên","  （人）の能力を越える: vượt quá khả năng của ai <br>  〜の枠組みを越える: vượt quá khung của ~ <br> 〜でクラスの平均点を越える: vượt qua điểm trung bình của lớp <br>  ＿円台を越える: vượt qua mức độ của đồng yên ","N2","4",",400dongtu,lesson16,",""
"立ち止まる","たちどまる","đứng lại, dừng lại","ステップに立ち止まることは連邦法で禁止されています: Luật pháp liên bang cấm đứng ở bậc lên xuống (trên xe buýt)","N2","5",",400dongtu,lesson16,",""
"物語る","ものがたる","Kể chuyện, thuật lại.","〜の歴史における意義ある前進を物語る: Kể về bước tiến trọng đại trong lịch sử ~ <br> 〜の交代を物語る: Kể về sự thay đổi của ~ ","N2","6",",400dongtu,lesson16,",""
"贈る","おくる","gửi (quà tặng)","（人）と一緒に（人）に最も暖かな祝福を贈る: cùng nhau gửi những lời chúc mừng tốt đẹp nhất đến ai <br>  〜に功労賞を贈る: trao tặng huy chương cho ai <br> カードを添えて（人）に花を贈る: gửi hoa cho ai với lời nhắn ","N2","7",",400dongtu,lesson16,",""
"揺れる","ゆれる","Rung, lắc","列車が通ると家が揺れる<br>The house shakes each time a train passes (by)<br>海藻が海の底で揺れているのが見える<br>I can see seaweed swaying at the bottom of the sea<br>木の葉が［小さく］揺れている<br>The leaves are trembling<br>道が悪くて車が揺れた<br>The car jolted on the bad road<br>船がひどく横に［縦に／前後左右に］揺れた<br>The ship rolled [pitched／rocked] badly<br>ろうそくの炎が風に揺れている<br>The candle is flickering in the breeze","N2","8",",400dongtu,lesson16,",""
"計る","はかる","suy đoán, bày mưu tính kế","湯がわくまでの時間を計ってみよう<br>I will see how long it takes for the water to boil<br>レース［走者］のタイムを計る<br>time 「a race [the speed of a runner]<br>3分計ってくれないか<br>Will you tell me when three minutes is up?<br>体温［血圧］を計る<br>take one's temperature [blood pressure]","N2","9",",400dongtu,lesson16,",""
"辞める","やめる","Ngưng, từ bỏ, nghĩ hưu.","収賄をめぐる騒ぎで国際オリンピック委員会を辞める: Do có tiếng xấu về việc nhận hối lộ nên bị khai trừ khỏi Uỷ ban Olimpic thế giới <br>  〜にもっと時間を割くために仕事を辞める: Nghỉ hưu để dành thời gian hơn nữa tới ~ ","N2","10",",400dongtu,lesson16,",""
"見上げる","みあげる","Ngưỡng mộ, hâm mộ,nhìn lên, ngước lên.","天井を見上げる<br>look up at the ceiling<br>見上げるように高い<br>towering／astonishingly high [tall]<br>見上げるような大男<br>a man of astonishing height","N2","11",",400dongtu,lesson16,",""
"受け持つ","うけもつ","đảm nhiệm , phụ trách","その学校で化学を受け持つことになる: Phụ trách dạy môn hóa học ở trường <br>神経と筋肉の間の伝達を受け持つ物質: Chịu trách nhiệm về truyền đạt thông tin từ hệ thần kinh tới cơ bắp ","N2","12",",400dongtu,lesson16,",""
"鳴らす","ならす","thổi (sáo), reo lên ( đồng hồ, chuông điện thoại…)","サイレンを鳴らす: tiếng sáo kêu","N2","13",",400dongtu,lesson16,",""
"応じる","おうじる","ứng với","私は水泳部の会員募集に応じた: Tôi đăng ký làm hội viên của câu lạc bộ bơi<br>質問にはいつも応じますよ: Bao giờ tôi cũng sẵn sàng trả lời (đáp ứng) các câu hỏi của bạn<br>この中学校は能力に応じた教育をすることで知られる: Trường trung học này được biết đến với việc giáo dục học sinh tùy theo năng lực","N2","14",",400dongtu,lesson16,",""
"焦がす","こがす","làm cháy, thiêu đốt","","N2","15",",400dongtu,lesson16,",""
"腰掛ける","こしかける","ngồi","腰掛ける椅子がなかった: Không có chiếc ghế nào để ngồi cả","N2","16",",400dongtu,lesson16,",""
"病む","やむ","Bị ốm.","慢性的に病む経済をさらなる景気後退へと導く: đưa nền kinh tế yếu kém kinh niên sang tình trạng suy thoái khác","N2","17",",400dongtu,lesson16,",""
"知らせる","しらせる","báo tin, thông báo","今日出発される事を彼に知らせましたか: đã báo cho anh ấy ngày mai xuất phát chưa?","N2","18",",400dongtu,lesson16,",""
"撃つ","うつ","bắn","彼は大蛇を撃った: Anh ta bắn chết con rắn lớn","N2","19",",400dongtu,lesson16,",""
"含む","ふくむ","Bao gồm, đựng, gồm.","","N2","20",",400dongtu,lesson16,",""
"寄せる","よせる","Lại gần, cộng, phó thác ( thân phận)","親戚の家に身を寄せる: sống nhờ nhà họ hàng","N2","1",",400dongtu,lesson17,",""
"繋がる","つながる","nối, buộc lại, liên kết, kết nối","","N2","2",",400dongtu,lesson17,",""
"治る","なおる","được chữa trị, chữa bệnh","しつこい風邪が治る: Khỏi ốm tương tư<br>受けたばかりの傷は、早期の処置で治る: Vết thương vừa bị đã được phục hồi nhanh chóng<br>悪化することなく手術によって治る: Sửa bằng biện pháp không làm tình hình xấu đi","N2","3",",400dongtu,lesson17,",""
"組み立てる","くみたてる","ghép, xây dựng, lắp ráp, lắp ghép","この飛行機は米国で製作して日本で組み立てました: cái máy bay này được chế tạo tại Mỹ và lắp ráp tại Nhật","N2","4",",400dongtu,lesson17,",""
"","まとめる","Đưa đến kết luận, thu thập, tập hợp.","交渉を締める: đưa đến kết luận của cuộc đàm phán<br>自分の考えをよくまとめてから筆を執るようにと先生に言われた: Cô giáo bảo chúng tôi hãy sắp xếp những ý tưởng của mình một cách rõ ràng rồi mới cầm bút viết:<br>1 週間分の買物をまとめてする: Tập hợp lại những thứ mua trong một tuần","N2","5",",400dongtu,lesson17,",""
"掃く","はく","quét, chải","床を掃く<br>戦前と違い, 今は大学出も掃いて捨てるほどいる: Khác với thời tiền chiến, bây giờ những người tốt nghiệp đại học nhan nhản/ đông như kiến cỏ/ hàng tá","N2","6",",400dongtu,lesson17,",""
"曲がる","まがる","Uốn cong, rẽ (trái, phải).","下に曲がる: Cong xuống dưới<br>急いで角を曲がる: Rẽ ngay ở cái góc đó","N2","7",",400dongtu,lesson17,",""
"儲かる","もうかる","lợi nhuận, có lời.","この品物は何割儲かるか: tỷ lệ sinh lời của mặt hàng này là bao nhiêu phần trăm","N2","8",",400dongtu,lesson17,",""
"済ませる","すませる","kết thúc","","N2","9",",400dongtu,lesson17,",""
"謝る","あやまる","xin lỗi","その仕事なら謝る: nếu là việc ấy thì có thể xin lỗi","N2","10",",400dongtu,lesson17,",""
"詰まる","つまる","đầy, bít, ngưng trệ, ứ đọng","","N2","11",",400dongtu,lesson17,",""
"溢れる","あふれる","đầy ắp , tràn","あの人は自信に溢れている: Người đó tràn đầy lòng tự tin<br>大雨で川が溢れた: Do mưa to nên sông ngập","N2","12",",400dongtu,lesson17,",""
"","ぶつける","Đập mạnh, đánh mạnh, húc mạnh, va vào , tông vào ","真っ暗いので頭を戸にぶつけた: vì tối quá nên tôi húc mạnh đầu vào cửa","N2","13",",400dongtu,lesson17,",""
"痺れる","しびれる","tê, tê liệt,tê liệt, tê cứng","舌が痺れるほど辛い: cay đến tê lưỡi","N2","14",",400dongtu,lesson17,",""
"満ちる","みちる"," Đầy, tròn, thỏa mãn","月が満ちる: trăng đầy","N2","15",",400dongtu,lesson17,",""
"延びる","のびる","phát triển (kinh doanh, doanh số…), hoãn (kỳ hạn..)","服が伸びちゃった: Áo bị dãn rồi<br>会議が〜: hội nghị kéo dài","N2","16",",400dongtu,lesson17,",""
"抜ける","ぬける","rút ra, bứng ra, rơi rụng ( tóc…)","抜けた野郎: đồ ngu<br>君がチームに加わらないなら, ぼくも抜ける: Nếu anh không tham gia vào đội thì tôi cũng rút lui<br>髪の毛が抜ける: tóc rụng","N2","17",",400dongtu,lesson17,",""
"茹でる","ゆでる","Luộc.","沸騰したお湯で野菜を茹でると残留農薬の量が大幅に減る: Nếu dùng nước đã đun sôi để luộc rau thì hàm lượng chất trừ sâu đã được giảm đi rất nhiều","N2","18",",400dongtu,lesson17,",""
"思い込む","おもいこむ","nghĩ rằng, cho rằng, tin rằng","すべてがもちろんのことと思い込む: Nghĩ rằng tất cả mọi điều là tự nhiên<br>一旦思い込んだら最後までやりぬく: khi đã nhận rõ thì làm đến cùng","N2","19",",400dongtu,lesson17,",""
"睨む","にらむ","liếc, lườm","（〜を）横目で睨む: liếc ngang","N2","20",",400dongtu,lesson17,",""
"呼び出す","よびだす","Gọi đến, vẫy đến, gọi ra.","","N2","1",",400dongtu,lesson18,",""
"ぶら下げる","ぶらさげる","Treo lòng thòng, đeo vào.","","N2","2",",400dongtu,lesson18,",""
"荒れる","あれる","bão , (biển) động , hoang vu","漁師は海が荒れても出かけなければならない: Những người ngư dân vẫn phải ra biển dù biển động<br>今夜は荒れるだろう: Đêm nay có thể sẽ có bão<br>彼は酒を飲むと荒れる: Anh ta trở nên điên điên khi uống rượu vào<br>庭が荒れている: Khu vườn bị bỏ hoang<br>冷たい風で唇が荒れた: Do gió lạnh, môi tôi bị nứt nẻ","N2","3",",400dongtu,lesson18,",""
"経る","へる","Kinh qua, trải qua.","検査過程を経る: Trải qua quá trình điều tra","N2","4",",400dongtu,lesson18,",""
"縛る","しばる","buộc, trói, băng bó","きず口を縛って止血する: băng bó vết thương cho cầm máu<br>時間に縛られる: bị hạn chế thời gian","N2","5",",400dongtu,lesson18,",""
"亡くす","なくす","chết, mất","父を亡くす: cha mất","N2","6",",400dongtu,lesson18,",""
"引っ繰り返す","ひっくりかえす","Lật ngược lại, đảo lộn","花瓶は引っ繰り返す: lọ hoa bị đổ","N2","7",",400dongtu,lesson18,",""
"無くなる","なくなる","mất đi, hết","ガソリンが無くなる: dùng hết xăng","N2","8",",400dongtu,lesson18,",""
"合わせる","あわせる"," cùng nhau , ghép lại","力を合わせてこの問題の解決に当たりましょう: Hãy cùng hiệp lực để giải quyết vấn đề này","N2","9",",400dongtu,lesson18,",""
"賄う","まかなう","Chi trả.","＿歳以上を対象に医療費の＿％を賄う: chịu chi trả _% phí điều trị cho những đối tượng từ _tuổi trở lên","N2","10",",400dongtu,lesson18,",""
"薄める","うすめる","pha loãng , làm nhạt đi","色を薄める: làm cho màu nhạt đi","N2","11",",400dongtu,lesson18,",""
"診る","みる","khám bệnh , chẩn đoán bệnh","どの場所で痛みが悪化しているのかを診る: Kiểm tra xem chỗ nào bị đau và đang trở nên xấu đi","N2","12",",400dongtu,lesson18,",""
"越す","こす","vượt qua","山を　越す: vượt qua núi","N2","13",",400dongtu,lesson18,",""
"交ぜる","まぜる","Trộn vào với nhau, pha lẫn vào.","","N2","14",",400dongtu,lesson18,",""
"打ち合わせる","うちあわせる","sắp xếp (buổi họp), sắp xếp họp mặt…","時間を打ち合わせ: sắp xếp thời gian","N2","15",",400dongtu,lesson18,",""
"老ける","ふける","Già, già lão.","早熟な者は早くから老ける: Trưởng thành sớm thì già sớm","N2","16",",400dongtu,lesson18,",""
"嫌がる","いやがる","ghét , không thích","一日にたくさんのEメール・メッセージを受信するのを嫌がる: Tôi ghét nhận quá nhiều email và tin nhắn trong một ngày","N2","17",",400dongtu,lesson18,",""
"通り過ぎる","とおりすぎる","đi quá, đi vượt qua"," 彼女は私に一言も言わずに通り過ぎて行った: Cô ấy đi qua tôi mà không nói một lời","N2","18",",400dongtu,lesson18,",""
"経つ","たつ","trải qua, trôi qua","学校に入ってから３年に立った: Đã 3 năm trôi qua kể từ khi vào trường","N2","19",",400dongtu,lesson18,",""
"褒める","ほめる","Khen ngợi, tán dương, ca tụng.","彼を褒める言葉がない: không còn lời nào để khen ngợi anh ta nữa","N2","20",",400dongtu,lesson18,",""
"追い掛ける","おいかける","đuổi theo","彼はオートバイに乗って全速力でその車を追い掛けた: Anh ta nhảy lên xe máy, phóng hết tốc lực đuổi theo chiếc xe đó","N2","1",",400dongtu,lesson19,",""
"超える","こえる","bứt, vượt lên","お湯は１００度を超えられない: Nước sôi không thể vượt quá 100 độ","N2","2",",400dongtu,lesson19,",""
"除く","のぞく","loại bỏ, loại trừ","有害廃棄物を除く:  loại bỏ phế thải có hại","N2","3",",400dongtu,lesson19,",""
"治す","なおす","chữa bệnh , trị bệnh","ゆっくり静養して病気を完全に治す: Chữa khỏi bệnh hoàn toàn bằng cách tĩnh dưỡng","N2","4",",400dongtu,lesson19,",""
"溶ける","とける","tan ra","","N2","5",",400dongtu,lesson19,",""
"交じる","まじる","Giao vào nhau, trộn vào với nhau, lẫn vào với nhau.","","N2","6",",400dongtu,lesson19,",""
"優れる","すぐれる","ưu việt, xuất sắc","彼女は音楽ではクラスのだれよりも優れている: về âm nhạc thì không một ai trong lớp vượt trội hơn cô ấy","N2","7",",400dongtu,lesson19,",""
"砕ける","くだける","bị vỡ","シャンデリアが天井から落ちてめちゃめちゃに砕けた: Chiếc đèn chùm rơi từ trên trần xuống và bị vỡ vụn","N2","8",",400dongtu,lesson19,",""
"覚ます","さます","đánh thức dậy, làm cho tỉnh lại, tỉnh lại","","N2","9",",400dongtu,lesson19,",""
"流行る","はやる","lưu hành, thịnh hành. Mốt","インフルエンザは一年のこの時期に流行る: Dịch cúm gia cầm thường bùng phát vào thời điểm này trong năm","N2","10",",400dongtu,lesson19,",""
"引っ繰り返る","ひっくりかえる","Lật trở lại, đổ xuống.","花瓶は引っ繰り返す: lọ hoa bị đổ","N2","11",",400dongtu,lesson19,",""
"割れる","われる","Hỏng, nứt, rách, vỡ.","ちゃわんが割れる: chiếc bát bị vỡ","N2","12",",400dongtu,lesson19,",""
"乾く","かわく","cạn, ráo, héo","","N2","13",",400dongtu,lesson19,",""
"取り上げる","とりあげる","đưa ra, dàn dựng, cầm lấy, đề xuất, ","取り上げて言うほどのことでもない: việc không đáng được đề ra một cách đặc biệt<br>意見を取り上げる: dung nạp những ý kiến chính xác<br>取り上げて言うほどのことでもない: việc không đáng được đề ra một cách đặc biệt","N2","14",",400dongtu,lesson19,",""
"誇る","ほこる","Tự hòa, kiêu hãnh","","N2","15",",400dongtu,lesson19,",""
"着替える","きがえる","thay quần áo","着替えるところがなくて困った: Tôi lo lắng vì không có chỗ thay quần áo","N2","16",",400dongtu,lesson19,",""
"散らかる","ちらかる","lung tung, vương vãi, không gọn gàng","座敷が散らかっている: Phòng không gọn gàng","N2","17",",400dongtu,lesson19,",""
"混ざる","まざる","Được trộn, được hòa trộn.","","N2","18",",400dongtu,lesson19,",""
"揉む","もむ","bóp ( massage) , cọ xát, chà xát, ","脚をもむ: mát xa chân<br>傷を塩でもむ: xát muối vào vết thương","N2","19",",400dongtu,lesson19,",""
"食う","くう","ăn, đớp, sực","草を食う: ăn cỏ","N2","20",",400dongtu,lesson19,",""
"破れる","やぶれる","Bị đánh tan, bị đánh bại, diệt vong, rách, tan vỡ."," 紙が破れる: giấy rách<br>夢が破れる: vỡ mộng<br>交渉が破れる: cuộc đàm phán bị tan vỡ","N2","1",",400dongtu,lesson20,",""
"語る","かたる","nói chuyện , nói , tường thuật , kể lại","〜について熱く語る: thuật lại nhiệt tình về cái gì","N2","2",",400dongtu,lesson20,",""
"命じる","めいじる","Ban hành, chỉ định, bổ nhiệm, ra lệnh.","（法律が）:と命じる: (luật) ban rằng…<br>彼は課長を命ぜられた: anh ta được bổ nhiệm chức trưởng phòng","N2","3",",400dongtu,lesson20,",""
"直す","なおす","chỉnh, sửa","僕は妹の壊れたいすを直してやった: Tôi sửa chiếc ghế bị hỏng cho em gái","N2","4",",400dongtu,lesson20,",""
"略す","りゃくす","Lượt bỏ, làm ngắn đi",":と略すこともある: cũng có lúc viết tắt là","N2","5",",400dongtu,lesson20,",""
"付け加える","つけくわえる","thêm vào","言葉を2〜3付け加える: thêm một vài từ","N2","6",",400dongtu,lesson20,",""
"放れる","はなれる","thoát đi , phóng thích , ( tàu điện, tên ) rời ga / cung","子供が親の手を放れる: người con đã thoát ly khỏi gia đình<br> 汽車が駅を放れる: tàu hỏa rời ga","N2","7",",400dongtu,lesson20,",""
"隔てる","へだてる","Phân chia, ngăn cách, cách biệt.","","N2","8",",400dongtu,lesson20,",""
"通う","かよう","lui tới , qua lại , đi ( học, làm …)","彼は福岡まで電車で通っている: Anh ta đi làm bằng tàu điện tới tận Fukuoka","N2","9",",400dongtu,lesson20,",""
"奪う","うばう","cướp đoạt, giật lấy"," ５０人の人命を奪った事故から丸１年が経つ: Đã tròn một năm kể từ sau vụ tai nạn cướp đi 50 sinh mạng<br>彼は帰り道で大金を奪われた: Ông ấy bị cướp một số tiền lớn trên đường về nhà","N2","10",",400dongtu,lesson20,",""
"通じる","つうじる","hiểu rõ, tinh thông, dẫn đến","父は冗談をまるで通じない: Bố tôi không hiểu hết câu nói đùa<br>この道路は山形市に通じている: Con đường này dẫn đến thành phố Yamagata","N2","11",",400dongtu,lesson20,",""
"浮かべる","うかべる","thả trôi , mường tượng","〜する自分の姿を簡単に頭に浮かべる: mường tượng ra ai đó đang làm gì","N2","12",",400dongtu,lesson20,",""
"通りかかる","とおりかかる","vượt qua, đi ngang qua","","N2","13",",400dongtu,lesson20,",""
"締める","しめる","khóa, thắt nút, buộc, vặn chặt","そのねじを締めてあげましょう: Hãy để tôi vặn con đinh ốc đó giúp cho","N2","14",",400dongtu,lesson20,",""
"発つ","たつ","rời khỏi, khởi hành","","N2","15",",400dongtu,lesson20,",""
"任せる","まかせる","Hết sức, dốc lòng, phó thác.","運を天に任せる: phó thác vận mệnh cho trời<br>力に任せて運ぶ: hết sức để mang đi","N2","16",",400dongtu,lesson20,",""
"羨む","うらやむ","Ghen tuông , ghen tỵ","","N2","17",",400dongtu,lesson20,",""
"測る","はかる","đo đạc ( mực nước, nhiệt độ, độ hiểu biết…)","〜への（人）の理解度を測る: Kiểm tra mức độ hiểu biết của ai về ~<br> （人）のおでこに手を当てて熱を測る: Sờ tay lên trán ai đó để kiểm tra nhiệt độ","N2","18",",400dongtu,lesson20,",""
"転がす","ころがす","lăn, làm cho đổ nhào","","N2","19",",400dongtu,lesson20,",""
"話し掛ける","はなしかける","bắt chuyện","直接（人）に話し掛けるだけの勇気がない: không dám bắt chuyện trực tiếp với","N2","20",",400dongtu,lesson20,",""
"与える","あたえる","cho , tặng","（人）に（物・資格等）を与える: ban (vật, tư cách) cho (ai đó)","N2","21",",400dongtu,lesson20,",""
"撒く","まく","Rải, vẩy (nước), tưới, gieo (hạt).","自分の遺伝子をできるだけ広く撒く: Gieo rắc hạt giống khắp nơi","N2","22",",400dongtu,lesson20,",""
"占める","しめる","chiếm, bao gồm","","N2","23",",400dongtu,lesson20,",""
"恵まれる","めぐまれる","Được ban cho.","彼女は健康に恵まれている: cô ấy được Trời ban cho sức khỏe<br>資源に〜: được ban cho tài nguyên thiên nhiên","N2","24",",400dongtu,lesson20,",""
"嬉しい","うれしい","vui mừng, hạnh phúc","","N2","1",",trainghia1,lesson1,",""
